"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "PostCSS", "SCSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.ts", "TypeScript", 0, 0, 0, 127, 0, 0, 0, 0, 0, 14, 141
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.html", "HTML", 0, 0, 176, 0, 0, 0, 0, 0, 5, 17, 198
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 9, 96
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.html", "HTML", 0, 0, 178, 0, 0, 0, 0, 0, 4, 17, 199
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 0, 0, 0, 22, 183
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.html", "HTML", 0, 0, 84, 0, 0, 0, 0, 0, 8, 12, 104
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.ts", "TypeScript", 0, 0, 0, 124, 0, 0, 0, 0, 1, 16, 141
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.html", "HTML", 0, 0, 142, 0, 0, 0, 0, 0, 3, 23, 168
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.ts", "TypeScript", 0, 0, 0, 184, 0, 0, 0, 0, 0, 20, 204
